Modele;PRIX;R_POIDS_PUIS;FINITION
Alfasud TI;30570;11.013;2_B
Audi 100;39990;13.059;3_TB
Simca 1300;29600;15.441;1_M
CitroenGS Club;28250;15.763;1_M
Fiat 132;34900;11.276;2_B
Lancia Beta;35480;13.171;3_TB
Peugeot 504;32300;14.684;2_B
Renault 16 TL;32000;18.364;2_B
Renault 30;47700;10.313;3_TB
Toyota Corolla;26540;14.818;1_M
Alfetta-1.66;42395;9.725;3_TB
Princess-1800;33990;14.146;2_B
Datsun-200L;43980;11.913;3_TB
Taunus-2000;35010;11.020;2_B
Rancho;39450;14.113;3_TB
Mazda-9295;27900;13.193;1_M
Opel-Rekord;32700;11.200;2_B
Lada-1300;22100;14.044;1_M
